"id","estado_id","nome","uf","iso","ddd","longitude","latitude"
"1","1","Acrelândia","AC","1200013","68","-67.0523165800206","-10.0737938924635"
"2","1","Assis Brasil","AC","1200054","68","-69.5634591746677","-10.9428656809172"
"3","1","Brasiléia","AC","1200104","68","-68.7479434259584","-11.0164110190858"
"4","1","Bujari","AC","1200138","68","-67.9518592792015","-9.82001962670938"
"5","1","Capixaba","AC","1200179","68","-67.6735079719432","-10.5697677087928"
"6","1","Cruzeiro do Sul","AC","1200203","68","-72.6725313174358","-7.63069000500981"
"7","1","Epitaciolândia","AC","1200252","68","-68.7448680666749","-11.0282398279564"
"8","1","Feijó","AC","1200302","68","-70.3539836082165","-8.16024753"
"9","1","Jordão","AC","1200328","68","-71.9508751248365","-9.19335785982848"
"10","1","Mâncio Lima","AC","1200336","68","-72.9165010261308","-7.59322259385836"
"11","1","Manoel Urbano","AC","1200344","68","-69.2599445775075","-8.83631773689166"
"12","1","Marechal Thaumaturgo","AC","1200351","68","-72.7902659086983","-8.95359112315366"
"13","1","Plácido de Castro","AC","1200385","68","-67.1882600861516","-10.3351332827427"
"14","1","Porto Walter","AC","1200393","68","-72.7423339648033","-8.26666636282753"
"15","1","Rio Branco","AC","1200401","68","-67.8105287004235","-9.97829875272498"
"16","1","Rodrigues Alves","AC","1200427","68","-72.6478549141997","-7.73360203372322"
"17","1","Santa Rosa do Purus","AC","1200435","68","-70.4864968937616","-9.44340653741185"
"18","1","Senador Guiomard","AC","1200450","68","-67.7431723600051","-10.1481735861989"
"19","1","Sena Madureira","AC","1200500","68","-68.655684061692","-9.065339505"
"20","1","Tarauacá","AC","1200609","68","-70.7555010628937","-8.15566859176562"
"21","1","Xapuri","AC","1200708","68","-68.5062948050463","-10.6520719403355"
"22","1","Porto Acre","AC","1200807","68","-67.5405900835194","-9.60085823118788"
"23","2","Água Branca","AL","2700102","82","-37.940715175965","-9.26702549705051"
"24","2","Anadia","AL","2700201","82","-36.3008135714461","-9.68408378505047"
"25","2","Arapiraca","AL","2700300","82","-36.6572965062872","-9.7559070107047"
"26","2","Atalaia","AL","2700409","82","-36.0214273162625","-9.50138674650017"
"27","2","Barra de Santo Antônio","AL","2700508","82","-35.5002980957816","-9.40927810936494"
"28","2","Barra de São Miguel","AL","2700607","82","-35.9074498726289","-9.83899825174925"
"29","2","Batalha","AL","2700706","82","-37.1270918944836","-9.67459302797037"
"30","2","Belém","AL","2700805","82","-36.4944979894058","-9.56864823133606"
"31","2","Belo Monte","AL","2700904","82","-37.2784386581653","-9.82698885476657"
"32","2","Boca da Mata","AL","2701001","82","-36.2117249001431","-9.64514456727259"
"33","2","Branquinha","AL","2701100","82","-36.0200335331731","-9.24658310830329"
"34","2","Cacimbinhas","AL","2701209","82","-36.9968696260236","-9.40516275105815"
"35","2","Cajueiro","AL","2701308","82","-36.1563785914086","-9.38966057508941"
"36","2","Campestre","AL","2701357","82","-35.5667177264544","-8.84837535315291"
"37","2","Campo Alegre","AL","2701407","82","-36.352434752197","-9.78341603898408"
"38","2","Campo Grande","AL","2701506","82","-36.7908400521347","-9.95692260332019"
"39","2","Canapi","AL","2701605","82","-37.6056471506351","-9.11738029758643"
"40","2","Capela","AL","2701704","82","-36.0750084923936","-9.4129315555221"
"41","2","Carneiros","AL","2701803","82","-37.3747504206165","-9.48067972087814"
"42","2","Chã Preta","AL","2701902","82","-36.2993814518778","-9.26142245940566"
"43","2","Coité do Nóia","AL","2702009","82","-36.5796842002285","-9.63848727077993"
"44","2","Colônia Leopoldina","AL","2702108","82","-35.7197808593936","-8.91268826995015"
"45","2","Coqueiro Seco","AL","2702207","82","-35.795363001733","-9.63755427096993"
"46","2","Coruripe","AL","2702306","82","-36.1760783105118","-10.1265472503749"
"47","2","Craíbas","AL","2702355","82","-36.7723914019128","-9.61993379738632"
"48","2","Delmiro Gouveia","AL","2702405","82","-37.9992334861769","-9.38457444694075"
"49","2","Dois Riachos","AL","2702504","82","-37.0898496479493","-9.38567081154627"
"50","2","Estrela de Alagoas","AL","2702553","82","-36.7583331109668","-9.38740530657934"
"51","2","Feira Grande","AL","2702603","82","-36.6776855005338","-9.90043719889156"
"52","2","Feliz Deserto","AL","2702702","82","-36.3071875176995","-10.2923806198663"
"53","2","Flexeiras","AL","2702801","82","-35.7243716385672","-9.27323546004541"
"54","2","Girau do Ponciano","AL","2702900","82","-36.8303139029901","-9.8873641521582"
"55","2","Ibateguara","AL","2703007","82","-35.9311844564205","-8.97698521760536"
"56","2","Igaci","AL","2703106","82","-36.62815971645","-9.53368865946465"
"57","2","Igreja Nova","AL","2703205","82","-36.653345012518","-10.1292988371728"
"58","2","Inhapi","AL","2703304","82","-37.752636521046","-9.22389877333184"
"59","2","Jacaré dos Homens","AL","2703403","82","-37.2078334090177","-9.63665882831559"
"60","2","Jacuípe","AL","2703502","82","-35.4609975081236","-8.84030050756405"
"61","2","Japaratinga","AL","2703601","82","-35.2586583540313","-9.08897435434458"
"62","2","Jaramataia","AL","2703700","82","-37.0035959132308","-9.65835193876392"
"63","2","Jequiá da Praia","AL","2703759","82","-36.0273340429838","-10.0095918935695"
"64","2","Joaquim Gomes","AL","2703809","82","-35.749030258912","-9.13597914629409"
"65","2","Jundiá","AL","2703908","82","-35.5555972975355","-8.93887675416228"
"66","2","Junqueiro","AL","2704005","82","-36.4715218222232","-9.93161038974245"
"67","2","Lagoa da Canoa","AL","2704104","82","-36.7357892600018","-9.83087565650446"
"68","2","Limoeiro de Anadia","AL","2704203","82","-36.5038970865","-9.73861316781449"
"69","2","Maceió","AL","2704302","82","-35.7016299134895","-9.66082215163114"
"70","2","Major Isidoro","AL","2704401","82","-36.9847996142241","-9.52664406793994"
"71","2","Maragogi","AL","2704500","82","-35.2230154091319","-9.0154564858241"
"72","2","Maravilha","AL","2704609","82","-37.3566354220481","-9.23399706335314"
"73","2","Marechal Deodoro","AL","2704708","82","-35.8930686988453","-9.73915570244381"
"74","2","Maribondo","AL","2704807","82","-36.3066028985381","-9.57724995600836"
"75","2","Mar Vermelho","AL","2704906","82","-36.3850400240272","-9.44777264348944"
"76","2","Mata Grande","AL","2705002","82","-37.7252240648916","-9.11480625764182"
"77","2","Matriz de Camaragibe","AL","2705101","82","-35.533554829803","-9.15852582474625"
"78","2","Messias","AL","2705200","82","-35.840378300501","-9.39181222510958"
"79","2","Minador do Negrão","AL","2705309","82","-36.864915772472","-9.30368326063751"
"80","2","Monteirópolis","AL","2705408","82","-37.2452720989471","-9.60232753886744"
"81","2","Murici","AL","2705507","82","-35.947555585677","-9.31630114434686"
"82","2","Novo Lino","AL","2705606","82","-35.6609637180966","-8.94315880807644"
"83","2","Olho D'água das Flores","AL","2705705","82","-37.2978907897967","-9.53360127527465"
"84","2","Olho D'água do Casado","AL","2705804","82","-37.8362428164813","-9.50144626528801"
"85","2","Olho D'água Grande","AL","2705903","82","-36.8067459676714","-10.0584949600009"
"86","2","Olivença","AL","2706000","82","-37.1908187180627","-9.51945648335504"
"87","2","Ouro Branco","AL","2706109","82","-37.3544437290231","-9.163415364026"
"88","2","Palestina","AL","2706208","82","-37.3311364505041","-9.67309718564914"
"89","2","Palmeira dos Índios","AL","2706307","82","-36.6309840973114","-9.4061587984201"
"90","2","Pão de Açúcar","AL","2706406","82","-37.435138856573","-9.74704185025694"
"91","2","Pariconha","AL","2706422","82","-38.0098260716315","-9.25788438518493"
"92","2","Paripueira","AL","2706448","82","-35.5591051843043","-9.46631347833536"
"93","2","Passo de Camaragibe","AL","2706505","82","-35.4912752632186","-9.24484665799731"
"94","2","Paulo Jacinto","AL","2706604","82","-36.3727420945597","-9.3733643824119"
"95","2","Penedo","AL","2706703","82","-36.5804602140903","-10.2961102979024"
"96","2","Piaçabuçu","AL","2706802","82","-36.4343520081112","-10.4073624263407"
"97","2","Pilar","AL","2706901","82","-35.9485175199678","-9.60689429266684"
"98","2","Pindoba","AL","2707008","82","-36.2865406443458","-9.47621079980144"
"99","2","Piranhas","AL","2707107","82","-37.7503929130592","-9.62355920030328"
"100","2","Poço das Trincheiras","AL","2707206","82","-37.2792980528473","-9.30291365540457"
"101","2","Porto Calvo","AL","2707305","82","-35.3983344556037","-9.05244831413658"
"102","2","Porto de Pedras","AL","2707404","82","-35.2970152177328","-9.15608616311578"
"103","2","Porto Real do Colégio","AL","2707503","82","-36.8246292915239","-10.1737325641911"
"104","2","Quebrangulo","AL","2707602","82","-36.4772220766618","-9.32354705536581"
"105","2","Rio Largo","AL","2707701","82","-35.8524223085924","-9.48615760833584"
"106","2","Roteiro","AL","2707800","82","-35.9812102213933","-9.83218949018835"
"107","2","Santa Luzia do Norte","AL","2707909","82","-35.8234877698639","-9.59676774166949"
"108","2","Santana do Ipanema","AL","2708006","82","-37.2454070203705","-9.3722843627404"
"109","2","Santana do Mundaú","AL","2708105","82","-36.2252341170425","-9.16503322076224"
"110","2","São Brás","AL","2708204","82","-36.8989486552451","-10.1203099965729"
"111","2","São José da Laje","AL","2708303","82","-36.0573877321467","-9.01106588188022"
"112","2","São José da Tapera","AL","2708402","82","-37.3837077656992","-9.54939574043675"
"113","2","São Luís do Quitunde","AL","2708501","82","-35.5654908365835","-9.31411736924134"
"114","2","São Miguel dos Campos","AL","2708600","82","-36.0942642743776","-9.77993457613103"
"115","2","São Miguel dos Milagres","AL","2708709","82","-35.3691193336324","-9.26718629500207"
"116","2","São Sebastião","AL","2708808","82","-36.5510919020052","-9.93165738892367"
"117","2","Satuba","AL","2708907","82","-35.8285402270771","-9.56942786775773"
"118","2","Senador Rui Palmeira","AL","2708956","82","-37.4536462478126","-9.46339144898312"
"119","2","Tanque D'arca","AL","2709004","82","-36.4367415959431","-9.53196244231297"
"120","2","Taquarana","AL","2709103","82","-36.4967676919618","-9.64232010538379"
"121","2","Teotônio Vilela","AL","2709152","82","-36.3555631422205","-9.90749788301098"
"122","2","Traipu","AL","2709202","82","-37.0060056722452","-9.97105938200651"
"123","2","União dos Palmares","AL","2709301","82","-36.0331428428074","-9.159524116522"
"124","2","Viçosa","AL","2709400","82","-36.2483932029197","-9.37705435448976"
"125","3","Alvarães","AM","1300029","97","-64.8135346775686","-3.21658376906639"
"126","3","Amaturá","AM","1300060","97","-68.2096146409404","-3.36680518750561"
"127","3","Anamã","AM","1300086","97","-61.4059034797501","-3.57637042689027"
"128","3","Anori","AM","1300102","97","-61.6589553828779","-3.74538558611889"
"129","3","Apuí","AM","1300144","97","-59.8856661047188","-7.1978701516076"
"130","3","Atalaia do Norte","AM","1300201","97","-70.1879892845226","-4.36615748971603"
"131","3","Autazes","AM","1300300","92","-59.1335670918168","-3.57866364177127"
"132","3","Barcelos","AM","1300409","97","-62.9256696581026","-0.972801052532191"
"133","3","Barreirinha","AM","1300508","92","-57.0677504898938","-2.7981498369298"
"134","3","Benjamin Constant","AM","1300607","97","-70.0273484332765","-4.37498901860391"
"135","3","Beruri","AM","1300631","97","-61.3715708916659","-3.89451340981806"
